"Statistic","CensusYear","Alphabetical List of Towns","UNIT","VALUE"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilmacthomas, Waterford","%","90.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilmaine, Mayo","%","83.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilmainham, Meath","%","73.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilmaley, Clare","%","81.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilmallock, Limerick","%","85.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilmead, Kildare","%","71.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilmeaden, Waterford","%","91.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilmeage, Kildare","%","58.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilmessan, Meath","%","52.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilmihill, Clare","%","83.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilmoganny, Kilkenny","%","84.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilmore, Wexford","%","71.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilmore Quay, Wexford","%","77.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilmuckeridge (Ford), Wexford","%","52.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilmurry, Clare","%","78.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilmyshall, Wexford","%","75.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilnaleck, Cavan","%","58.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilpedder, Wicklow","%","36.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilrane, Wexford","%","70"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilrush, Clare","%","80.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilsheelan, South Tipperary","%","88.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilteel, Kildare","%","38.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilteely, Limerick","%","93"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kiltimagh, Mayo","%","74.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kilworth, Cork","%","84.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kingscourt, Cavan","%","73.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kinlough, Leitrim","%","70.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kinnegad, Westmeath","%","48.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kinnitty, Offaly","%","82.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kinsale, Cork","%","66.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kinsaley, Fingal","%","11.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kinsealy-Drinan, Fingal","%","7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Kinvara, Galway","%","67.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Knightstown, Kerry","%","75.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Knock, Mayo","%","71.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Knockananna, Wicklow","%","69.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Knockbridge, Louth","%","78"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Knockcroghery, Roscommon","%","76.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Knockglass, Cork","%","80.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Knocklong, Limerick","%","85.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Knocknagree, Cork","%","93.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Knockraha, Cork","%","89.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Knocktopher, Kilkenny","%","83.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Lackaghbeg, Galway","%","80.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Ladytown, Kildare","%","53.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Laghy, Donegal","%","84.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Lahardane, Mayo","%","88.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Lahinch, Clare","%","73.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Lanesborough-Ballyleague, Longford and Roscommon","%","68.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Laragh, Wicklow","%","55.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Lawcus-Stoneyford, Kilkenny","%","80.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Laytown-Bettystown-Mornington-Donacarney, Meath","%","43.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Leap, Cork","%","71.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Legan, Longford","%","80.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Leighlinbridge, Carlow","%","75.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Leitrim, Leitrim","%","69"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Leixlip, Kildare","%","40.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Lemybrien, Waterford","%","93.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Letterkenny, Donegal","%","68.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Lifford, Donegal","%","74.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Limerick city and suburbs, Limerick","%","78.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Liscannor, Clare","%","71.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Liscarroll, Cork","%","88.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Lisdoonvarna, Clare","%","57.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Lismore, Waterford","%","81"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Lisronagh, South Tipperary","%","84.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Lissycasey, Clare","%","87.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Listowel, Kerry","%","80.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Littleton, North Tipperary","%","90.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Lixnaw, Kerry","%","78.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Loch an Iúir, Donegal","%","69.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Longford, Longford","%","60.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Longwood, Meath","%","45.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Lordship, Louth","%","74.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Loughglinn, Roscommon","%","69"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Loughrea, Galway","%","73.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Loughshinny, Fingal","%","11.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Lough Gowna, Cavan","%","70.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Louisburgh, Mayo","%","61.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Louth, Louth","%","82.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Lusk, Fingal","%","8.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Lyre, Cork","%","83.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Macroom, Cork","%","78.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Maddenstown, Kildare","%","70.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Maigh Cuilinn, Galway","%","72.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Malahide, Fingal","%","14.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Malin, Donegal","%","76.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Mallow, Cork","%","77.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Manorcunningham, Donegal","%","78.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Manorhamilton, Leitrim","%","71.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Manor Kilbride, Wicklow","%","39"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Maynooth, Kildare","%","43.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Meathas Truim (Edgeworthstown), Longford","%","54.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Midleton, Cork","%","74.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Milford, Cork","%","96"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Milford, Donegal","%","78.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Millstreet, Cork","%","72.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Milltown, Kerry","%","73.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Milltown, Kildare","%","73.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Milltown, Galway","%","82.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Miltown Malbay, Clare","%","82.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Mín Lárach, Donegal","%","79.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Mitchelstown, Cork","%","82"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Moate, Westmeath","%","75.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Model Village (Dripsey), Cork","%","89.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Mogeely, Cork","%","84.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Mohill, Leitrim","%","77.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Monaghan, Monaghan","%","60"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Monard, South Tipperary","%","83.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Monasterevin, Kildare","%","63.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Moneenroe, Kilkenny","%","85.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Moneygall, Offaly","%","92.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Monivea, Galway","%","86.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Mooncoin, Kilkenny","%","87.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Moroe, Limerick","%","84"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Mount Bellew, Galway","%","79.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Mountcharles, Donegal","%","77.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Mountcollins, Limerick","%","85.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Mountmellick, Laois","%","73.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Mountshannon, Clare","%","74"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Mountrath, Laois","%","75.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Moville, Donegal","%","67.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Moylough, Galway","%","82.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Mucklagh, Offaly","%","84"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Muff, Donegal","%","36.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Muinebeag (Bagenalstown), Carlow","%","79.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Mullagh, Cavan","%","56.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Mullaghmore, Sligo","%","69.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Mullinahone, South Tipperary","%","84.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Mullinavat, Kilkenny","%","90.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Mullingar, Westmeath","%","66.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Mulranny, Mayo","%","68.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Multyfarnham, Westmeath","%","68.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Mungret, Limerick","%","90.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Murntown, Wexford","%","80.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Myshall, Carlow","%","71.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Naas, Kildare","%","48.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Na Forbacha, Galway","%","61.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Narraghmore, Kildare","%","48.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Naul, Fingal","%","17.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Navan (An Uaimh), Meath","%","54"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Nenagh, Tipperary","%","73.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Newbawn, Wexford","%","88.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Newbliss, Monaghan","%","81.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Newcastle, South Dublin","%","11"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Newcastle, South Tipperary","%","83.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Newcastle, Wicklow","%","41.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Newcastle West, Limerick","%","72.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Newmarket, Cork","%","90.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Newmarket-on-Fergus, Clare","%","85.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Newport, Mayo","%","75.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Newport, North Tipperary","%","86"
"Birthplace - Other county in Ireland (Republic) (%)","2016","New Ross, Wexford","%","74.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Newtown, Cork","%","90.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Newtown, Laois","%","74.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Newtown, North Tipperary","%","79.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Newtowncunningham, Donegal","%","68.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Newtownforbes, Longford","%","71.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Newtownmountkennedy, Wicklow","%","48.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Newtownsandes, Kerry","%","90"
"Birthplace - Other county in Ireland (Republic) (%)","2016","New Twopothouse, Cork","%","84.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Nobber, Meath","%","72.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Nurney, Kildare","%","57.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","O'Briensbridge-Montpelier, Clare and Limerick","%","86.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Oilgate, Wexford","%","83"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Oldcastle, Meath","%","60"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Oldtown, Fingal","%","9.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Omeath, Louth","%","47.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Oola, Limerick","%","90.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Oram, Monaghan","%","75.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Oranmore, Galway","%","68"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Oughterard, Galway","%","71.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Oulart, Wexford","%","69.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Palatine, Carlow","%","76.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Pallas Grean, Limerick","%","89.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Pallaskenry, Limerick","%","91.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Passage East, Waterford","%","81.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Passage West, Cork","%","79.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Patrickswell, Limerick","%","87.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Paulstown, Kilkenny","%","78.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Pettigo (pt.) (a), Donegal","%","68.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Piercetown, Wexford","%","74.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Piltown, Kilkenny","%","83"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Pollagh, Offaly","%","91.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Portarlington, Laois and Offaly","%","61.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Portlaoise (Maryborough), Laois","%","62.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Portlaw, Waterford","%","88.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Portmagee, Kerry","%","77.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Portmarnock, Fingal","%","15.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Portrane, Fingal","%","14.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Portroe, North Tipperary","%","80.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Portumna, Galway","%","72.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Prosperous, Kildare","%","51.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Puckaun, North Tipperary","%","82.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Quigleys Point, Donegal","%","54.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Quilty, Clare","%","82.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Quin, Clare","%","75.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Raharney, Westmeath","%","77.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Ramelton, Donegal","%","79.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rann na Feirste, Donegal","%","71.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Raphoe, Donegal","%","86.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rathangan, Kildare","%","63.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rathard-Aherla, Cork","%","89.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rathcoffey, Kildare","%","52"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rathcoole, South Dublin","%","12.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rathcoole, Cork","%","71.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rathcormac, Cork","%","79.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rathdowney, Laois","%","79.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rathdrum, Wicklow","%","62.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rathkeale, Limerick","%","85.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rathluirc (Charleville), Cork and Limerick","%","71.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rathmolyon, Meath","%","64.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rathmore, Kerry","%","70"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rathmullen, Donegal","%","73.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rathnew, Wicklow","%","53"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rathtoe, Carlow","%","67.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rathowen, Westmeath","%","74.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rathvilly, Carlow","%","53.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Ratoath, Meath","%","30.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Reardnogy, North Tipperary","%","94.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Redcross, Wicklow","%","45.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rhode, Offaly","%","68.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Ringaskiddy-Loughbeg, Cork","%","77.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rivermeade, Fingal","%","4.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Riverstick, Cork","%","78.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Riverstown, Sligo","%","82.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Robertstown, Kildare","%","48.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rochfortbridge, Westmeath","%","60"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rockcorry, Monaghan","%","86.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Roosky, Leitrim and Roscommon","%","62.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Roscommon, Roscommon","%","68.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Roscrea, North Tipperary","%","77.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rosegreen, South Tipperary","%","81.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rosscahill, Galway","%","80.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rosscarbery, Cork","%","76.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rosses Point, Sligo","%","74.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rosslare, Wexford","%","58.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Roundstone, Galway","%","74.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Roundwood, Wicklow","%","51.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Rush, Fingal","%","9.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Saggart, South Dublin","%","7.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","St. Johnston, Donegal","%","79.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Saleen, Cork","%","84.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Sallins, Kildare","%","40.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Scarriff-Tuamgraney, Clare","%","78.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Schull, Cork","%","63.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Scotshouse, Monaghan","%","76.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Scotstown, Monaghan","%","79.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Shanagarry, Cork","%","74.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Shanagolden, Limerick","%","92.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Shanbally, Cork","%","87.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Shanballymore, Cork","%","89.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Shannon, Clare","%","67.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Shannonbridge, Offaly","%","87.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Shercock, Cavan","%","63.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Shillelagh, Wicklow","%","70"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Shinrone, Offaly","%","87.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Shrule, Mayo","%","81.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Silvermines, North Tipperary","%","88.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Sixmilebridge, Clare","%","79.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Skerries, Fingal","%","15.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Skibbereen, Cork","%","70.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Slane, Meath","%","67.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Slieverue, Kilkenny","%","90.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Sligo, Sligo","%","72.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Smithborough, Monaghan","%","72.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Sneem, Kerry","%","66.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Spa, Kerry","%","86.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Stamullen, Meath","%","36.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Stradbally, Laois","%","81.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Stradbally, Waterford","%","83.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Straffan, Kildare","%","47.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Stratford, Wicklow","%","53.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Strandhill, Sligo","%","73.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Strokestown, Roscommon","%","74.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Summerhill, Meath","%","58.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Suncroft, Kildare","%","73.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Swanlinbar, Cavan","%","60.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Swinford, Mayo","%","81"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Swords, Fingal","%","8.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Taghmon, Wexford","%","88.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Tallanstown, Louth","%","86.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Tallow, Waterford","%","81.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Tarbert, Kerry","%","84.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Templemore, North Tipperary","%","83.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Templetuohy, North Tipperary","%","90.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Termonbarry, Co Roscommon","%","63.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Termonfeckin, Louth","%","74.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","The Ballagh, Wexford","%","72.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","The Commons, South Tipperary","%","90.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","The Swan, Laois","%","79.2"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Thomastown, Kilkenny","%","77.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Thurles, Tipperary","%","81.5"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Tievebane, Donegal","%","69.6"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Timoleague, Cork","%","66.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Tinahely, Wicklow","%","65.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Tinriland, Carlow","%","84.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Tinure, Louth","%","81.3"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Tipperary, Tipperary","%","78.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Toomevara, North Tipperary","%","86.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Toornafulla, Limerick","%","84.7"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Tower, Cork","%","84.8"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Tralee, Kerry","%","72.9"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Tramore, Waterford","%","78.1"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Trim, Meath","%","52.4"
"Birthplace - Other county in Ireland (Republic) (%)","2016","Tuam, Galway","%","72.8"
